winner_id,tourney_id,match_won
122536,2016-0439,1
105613,2016-0444,5
105657,2016-0444,4
104660,2016-0444,3
106110,2016-0444,3
106307,2016-0444,3
124116,2016-0444,3
116985,2016-0444,3
106421,2016-0444,3
200514,2016-0444,2
106361,2016-0444,2
106035,2016-0444,2
104873,2016-0444,2
106078,2016-0444,2
105577,2016-0444,2
104920,2016-0444,2
105011,2016-0444,1
105590,2016-0444,1
200108,2016-0444,1
105633,2016-0444,1
105649,2016-0444,1
117356,2016-0444,1
126540,2016-0444,1
105526,2016-0444,1
103938,2016-0444,1
105043,2016-0444,1
134068,2016-0444,1
117363,2016-0444,1
105152,2016-0444,1
103863,2016-0444,1
104628,2016-0444,1
104797,2016-0444,1
111575,2016-0447,5
103105,2016-0447,4
109737,2016-0447,3
103863,2016-0447,3
106368,2016-0447,3
105452,2016-0447,3
106299,2016-0447,3
106006,2016-0447,3
104644,2016-0447,2
104847,2016-0447,2
125802,2016-0447,2
105430,2016-0447,2
105909,2016-0447,2
104804,2016-0447,2
106393,2016-0447,2
106330,2016-0447,2
121920,2016-0447,1
122272,2016-0447,1
106311,2016-0447,1
144750,2016-0447,1
105515,2016-0447,1
132299,2016-0447,1
105731,2016-0447,1
105692,2016-0447,1
104707,2016-0447,1
122078,2016-0447,1
122236,2016-0447,1
106187,2016-0447,1
105781,2016-0447,1
106234,2016-0447,1
105434,2016-0447,1
106034,2016-0447,1
105561,2016-0448,5
104460,2016-0448,4
105559,2016-0448,3
106005,2016-0448,3
104901,2016-0448,3
104714,2016-0448,3
116985,2016-0448,3
106099,2016-0448,2
105091,2016-0448,2
105152,2016-0448,2
106065,2016-0448,2
105586,2016-0448,2
105612,2016-0448,2
103656,2016-0448,2
109303,2016-0448,2
105438,2016-0448,1
134770,2016-0448,1
105415,2016-0448,1
126372,2016-0448,1
105047,2016-0448,1
105323,2016-0448,1
105503,2016-0448,1
106288,2016-0448,1
105668,2016-0448,1
106072,2016-0448,1
108734,2016-0448,1
126166,2016-0448,1
117361,2016-0448,1
144645,2016-0448,1
104925,2016-0451,5
104745,2016-0451,4
106378,2016-0451,4
104607,2016-0451,3
105011,2016-0451,3
104919,2016-0451,2
104460,2016-0451,2
104871,2016-0451,2
103794,2016-0451,2
106234,2016-0451,2
105723,2016-0451,2
105041,2016-0451,1
105806,2016-0451,1
104898,2016-0451,1
105430,2016-0451,1
103926,2016-0451,1
104559,2016-0451,1
106000,2016-0451,1
103908,2016-0451,1
104269,2016-0451,1
104665,2016-0451,1
105575,2016-0451,1
103582,2016-0451,1
105932,2016-0460,5
105726,2016-0460,4
105526,2016-0460,4
104676,2016-0460,3
105967,2016-0460,3
105091,2016-0460,3
105906,2016-0460,3
103656,2016-0460,3
106075,2016-0460,3
104997,2016-0460,2
111576,2016-0460,2
123828,2016-0460,2
105700,2016-0460,2
104122,2016-0460,2
104252,2016-0460,2
126207,2016-0460,1
105015,2016-0460,1
105302,2016-0460,1
105963,2016-0460,1
111513,2016-0460,1
105952,2016-0460,1
105085,2016-0460,1
131867,2016-0460,1
104947,2016-0460,1
106348,2016-0460,1
105641,2016-0460,1
106248,2016-0460,1
106426,2016-0460,1
109739,2016-0460,1
120424,2016-0460,1
106044,2016-0460,1
111815,2016-0467,6
105281,2016-0467,5
105554,2016-0467,5
106031,2016-0467,4
106216,2016-0467,3
105960,2016-0467,2
104945,2016-0467,2
104594,2016-0467,2
110740,2016-0467,2
110636,2016-0467,1
106283,2016-0467,1
106335,2016-0467,1
106093,2016-0467,1
111456,2016-0467,1
124014,2016-0467,1
120401,2016-0467,1
105534,2016-0467,1
105434,2016-0467,1
105547,2016-0467,1
105871,2016-0467,1
105877,2016-0467,1
104527,2016-0495,5
104571,2016-0495,4
105341,2016-0495,3
106401,2016-0495,3
103852,2016-0495,3
105015,2016-0495,3
106298,2016-0495,2
104259,2016-0495,2
104022,2016-0495,2
104925,2016-0495,2
105138,2016-0495,2
104607,2016-0495,2
105074,2016-0495,1
106432,2016-0495,1
104586,2016-0495,1
105062,2016-0495,1
106378,2016-0495,1
111202,2016-0495,1
104471,2016-0495,1
105932,2016-0495,1
104291,2016-0495,1
105577,2016-0495,1
106401,2016-0496,5
105227,2016-0496,3
105332,2016-0496,3
